model,accuracy,precision,recall,f1_score
ViDeBERTa,0.6871345029239766,0.3435672514619883,0.5,0.4072790294627383
viBERT,0.7976539589442815,0.7719923071443835,0.8065837013247692,0.7802363050483351
vELECTRA,0.808199121522694,0.6356275303643725,0.7929292929292929,0.7056179775280899
XLM-R_Base,0.8550512445095169,0.8938775510204081,0.9030927835051548,0.8984615384615384
mBERT,0.9706744868035192,0.9656211010605116,0.9677732079905992,0.966685229148959
phobert_base,0.9149560117302052,0.8983000298240382,0.8983000298240382,0.8983000298240382
phobert_large,0.969208211143695,0.9646260351576256,0.9634183059012444,0.9640189627753786
