Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,0.25198415034385613,0.906158357771261,0.8946266501650165,0.8840124448012846,0.889021103483346
2,0.26133805192833726,0.8885630498533724,0.8675865138533437,0.8695753877447241,0.8685694579681922
3,0.29169188829702003,0.8958944281524927,0.8873474349623146,0.8799317002442002,0.8834314327327002
4,0.2706088616057884,0.8973607038123167,0.88350622406639,0.8729822437449556,0.8779465153142098
5,0.28305136914863144,0.8782991202346041,0.8592092950717405,0.8634427054054854,0.8612608240625681
6,0.2787933994171231,0.8856304985337243,0.8734839212195393,0.8623982881989772,0.8675464369304318
7,0.2446515009153721,0.9032258064516129,0.8919289461134955,0.886310223266745,0.8890203852184976
8,0.2592993295469949,0.8958944281524927,0.877922077922078,0.882570589114088,0.8801776721972706
9,0.2808227163068084,0.8914956011730205,0.871736046125517,0.8737064648937354,0.8727098466505245
10,0.27458642882316614,0.8885630498533724,0.8668124450834731,0.8726164394677053,0.8696129038749862
11,0.29453139145706975,0.8870967741935484,0.8679389771464608,0.8688879967884384,0.868410699743156
12,0.25931746356709057,0.9002932551319648,0.8890283929136349,0.883567919525889,0.88620056732855
13,0.24089455829803333,0.9149560117302052,0.8983000298240382,0.8983000298240382,0.8983000298240382
14,0.2675094275280487,0.8841642228739003,0.86773628762037,0.8630782069623271,0.865338328763631
15,0.25916183064150256,0.8929618768328446,0.8722033694705547,0.8771299902629017,0.8745954060800548
