Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.1113847877547058,0.4438680410385132,0.7964860907759883,0.5994236311239193,0.697986577181208,0.5252525252525253
2,0.8814154730902778,0.4060804843902588,0.8038067349926794,0.6616161616161617,0.6616161616161617,0.6616161616161617
3,0.6727118687322963,0.450512558221817,0.8257686676427526,0.6792452830188679,0.7283236994219653,0.6363636363636364
4,0.4771483571905839,0.5900686979293823,0.8023426061493412,0.6808510638297872,0.64,0.7272727272727273
5,0.3617789954469915,0.6526194214820862,0.7979502196193266,0.6834862385321101,0.6260504201680672,0.7525252525252525
6,0.27319976182011835,0.8985153436660767,0.808199121522694,0.7056179775280899,0.6356275303643725,0.7929292929292929
