Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,0.13190065326472356,0.969208211143695,0.9646260351576257,0.9634183059012444,0.9640189627753786
2,0.1704333674509165,0.9604105571847508,0.9526330736773775,0.953862191711162,0.953244378991202
3,0.20731545715636118,0.9486803519061584,0.9451738531093052,0.9405238858363858,0.9427801602730828
4,0.16648453847656763,0.9604105571847508,0.9589009215874887,0.9476089588377724,0.9529874924364856
5,0.19352776356322995,0.9530791788856305,0.9443907109430718,0.9485980847559592,0.9464473258016706
6,0.21479692391314825,0.9457478005865103,0.9376419898159029,0.9386686428283978,0.9381524155459642
7,0.16420595916962727,0.9618768328445748,0.9608095694544293,0.9519291030160595,0.9561748655488769
8,0.1431155550688895,0.9648093841642229,0.9554109635882255,0.9642647278521985,0.9596437764430901
9,0.16660394112384597,0.9589442815249267,0.9506545516748675,0.9530432847446311,0.9518361581920904
10,0.17598056999511671,0.9545454545454546,0.9503987339808235,0.9416686952288218,0.9458723229944059
11,0.22664727147960992,0.9457478005865103,0.9344086021505376,0.9399237254114814,0.9370903606197725
12,0.18645925001176292,0.9560117302052786,0.9501423112913288,0.9501423112913288,0.9501423112913288
13,0.18581323261199476,0.9560117302052786,0.9442528096138867,0.9516542057035902,0.9478359304887003
14,0.15684039450012321,0.9633431085043989,0.9581743937054927,0.9570318709267207,0.9576000377993799
15,0.1906116650992095,0.9545454545454546,0.9458662512518081,0.947064670561506,0.9464622599702709
