,precision,recall,f1-score,support
non-clickbait,0.9156626506024096,0.8710601719197708,0.8928046989720999,349.0
clickbait,0.7471910112359551,0.8260869565217391,0.7846607669616519,161.0
accuracy,0.8568627450980392,0.8568627450980392,0.8568627450980392,0.8568627450980392
macro avg,0.8314268309191823,0.848573564220755,0.8387327329668759,510.0
weighted avg,0.8624784664102544,0.8568627450980392,0.85866514396488,510.0
