,precision,recall,f1-score,support
non-clickbait,0.9005681818181818,0.9083094555873925,0.9044222539229672,349.0
clickbait,0.7974683544303798,0.782608695652174,0.7899686520376176,161.0
accuracy,0.8686274509803922,0.8686274509803922,0.8686274509803922,0.8686274509803922
macro avg,0.8490182681242808,0.8454590756197833,0.8471954529802923,510.0
weighted avg,0.8680209814075227,0.8686274509803922,0.8682908227395527,510.0
