,precision,recall,f1-score,support
non-clickbait,0.8947368421052632,0.8767908309455588,0.8856729377713459,349.0
clickbait,0.7440476190476191,0.7763975155279503,0.7598784194528876,161.0
accuracy,0.8450980392156863,0.8450980392156863,0.8450980392156863,0.8450980392156863
macro avg,0.8193922305764412,0.8265941732367545,0.8227756786121168,510.0
weighted avg,0.8471663226694186,0.8450980392156863,0.8459613349296364,510.0
