epoch,train_loss,val_loss,val_acc,val_f1
1,0.16781190384265987,0.099853515625,0.6891495601173021,0.4079861111111111
2,1.8998943594999091,,0.6891495601173021,0.4079861111111111
3,0.0,,0.6891495601173021,0.4079861111111111
4,0.0,,0.6891495601173021,0.4079861111111111
5,0.0,,0.6891495601173021,0.4079861111111111
6,0.0,,0.6891495601173021,0.4079861111111111
7,0.0,,0.6891495601173021,0.4079861111111111
8,0.0,,0.6891495601173021,0.4079861111111111
9,0.0,,0.6891495601173021,0.4079861111111111
10,0.0,,0.6891495601173021,0.4079861111111111
11,0.0,,0.6891495601173021,0.4079861111111111
