,precision,recall,f1-score,support
non-clickbait,0.8484848484848485,0.8825214899713467,0.8651685393258427,349.0
clickbait,0.7210884353741497,0.6583850931677019,0.6883116883116883,161.0
accuracy,0.8117647058823529,0.8117647058823529,0.8117647058823529,0.8117647058823529
macro avg,0.7847866419294991,0.7704532915695244,0.7767401138187655,510.0
weighted avg,0.80826754944402,0.8117647058823529,0.8093372589076488,510.0
